Séance,ISIN.,Val.,Ouv.,Clô.,+ haut,+ bas,CMP,Nb. Tr.,Qté,Cap.
06/02/2026,TN0006590012,SIAME,2.88,2.82,2.9,2.82,2.859,11,2985,8533.1
06/02/2026,TN0001100254,SFBT,13.39,13.44,13.5,13.3,13.439,71,16566,222626.91
06/02/2026,TN0007610017,SAH,14.29,14.29,14.29,14.1,14.25,68,17057,243063.65
06/02/2026,TN0005700018,POULINA GP HOLDING,21.2,21.35,21.35,21.02,21.28,153,21890,465816.7
06/02/2026,TN0007530017,ONE TECH HOLDING,8.9,8.8,8.9,8.7,8.838,72,24719,218470.21
06/02/2026,TN0007620016,MPBS,8.2,8.2,8.2,8.08,8.124,10,682,5540.68
06/02/2026,TN0001000108,MONOPRIX,6.2,6.2,6.2,6.2,6.2,1,50,310
06/02/2026,TN0006720049,BH LEASING,3.63,3.63,3.63,3.63,3.63,3,649,2355.87
06/02/2026,TN0006440010,MAGASIN GENERAL,0,0,0,0,0,0,0,0
06/02/2026,TN0007310139,HANNIBAL LEASE,7.25,7.25,7.25,7.25,7.25,2,1420,10295
06/02/2026,TN0007570013,EURO-CYCLES,11.59,11.7,11.77,11.58,11.65,48,6392,74468.53
06/02/2026,TN0007210016,ESSOUKNA,3.81,3.81,3.81,3.77,3.779,18,3609,13639.65
06/02/2026,TN0007410012,ENNAKL AUTOMOBILES,16.5,17.4,17.41,16.5,17.141,38,1628,27905.12
06/02/2026,TN0007670011,DELICE HOLDING,14.58,14.5,14.6,14.38,14.532,88,14608,212286.94
06/02/2026,TN0007550015,CITY CARS,24.4,24.7,25.19,24.4,24.745,55,4869,120484.43
06/02/2026,TN0007350010,CIMENTS DE BIZERTE,0.48,0.48,0.48,0.48,0.48,2,197,94.56
06/02/2026,TN0004200853,CIL,32.35,32.4,33,32.3,32.372,11,2846,92129.65
06/02/2026,TN0007590011,CELLCOM,2.75,2.83,2.83,2.75,2.772,70,8342,23124.56
06/02/2026,TN0002200053,BT,6.99,7.04,7.04,6.99,6.999,108,54823,383730.62
06/02/2026,TN0003100609,BNA,13.4,13.15,13.4,13.1,13.239,153,40741,539363.75
06/02/2026,TN0001800457,BIAT,129.9,132,132,129.9,130.332,50,2035,265224.65
06/02/2026,TN0001900604,BH BANK,10,10.25,10.25,10,10,2,601,6010.25
06/02/2026,TN0006610018,ATTIJARI LEASING,31.31,32,32.01,31.2,31.532,14,842,26550.24
06/02/2026,TN0001600154,ATTIJARI BANK,68.7,68.5,69,67.8,68.961,66,20320,1401287.47
06/02/2026,TN0004700100,ATL,8.15,7.9,8.16,7.8,7.901,88,46621,368335.5
06/02/2026,TN0007740012,ATELIER MEUBLE INT,4.35,4.3,4.35,4.27,4.306,16,2364,10179.04
06/02/2026,TN0003600350,ATB,3.56,3.56,3.56,3.56,3.56,1,10,35.6
06/02/2026,TN0007140015,ASSAD,3.2,3.2,3.2,3.2,3.2,43,30799,98556.8
06/02/2026,TN0007830011,ASSUR MAGHREBIA,59.8,59.8,59.8,59.8,59.8,11,720,43056
06/02/2026,TN0007300015,ARTES,13.1,13.14,13.15,13,13.087,55,11262,147382.06
06/02/2026,TNDKJ8O68X14,ASSU MAGHREBIA VIE,7.77,7.77,7.89,7.77,7.787,56,17672,137616.56
06/02/2026,TN0003400058,AMEN BANK,56.49,56,56.5,56,56.388,103,5405,304775.44
05/02/2026,TN0005030010,STIP,0,0,0,0,0,0,0,0
05/02/2026,TN0007600018,SOTEMAIL,0,0,0,0,0,0,0,0
05/02/2026,TN0007650013,TAWASOL GP HOLDING,0.84,0.84,0.84,0.84,0.84,12,19203,16130.52
05/02/2026,TN0007730013,SANIMED,0.75,0.75,0.75,0.75,0.75,1,55,41.25
05/02/2026,TN0007700016,OFFICEPLAST,2.37,2.37,2.37,2.31,2.348,121,51884,121799.29
05/02/2026,TN0007540016,NEW BODY LINE,3.76,3.76,3.76,3.74,3.76,8,1753,6590.7
05/02/2026,TN0007510019,LAND OR,15.5,15.7,15.7,15.5,15.529,4,350,5435
05/02/2026,TN0007400013,CARTHAGE CEMENT,1.9,1.91,1.92,1.86,1.891,179,189737,358868.54
05/02/2026,TN0007500010,AETECH,0,0,0,0,0,0,0,0
05/02/2026,TN0007720022,UMED D76/509 26716,0,0,0,0,0,0,0,0
05/02/2026,TN0006560098,STV02 3/10 010102,0,0,0,0,0,0,0,0
05/02/2026,TN0006660104,STPILDA1/56 300617,0,0,0,0,0,0,0,0
05/02/2026,TN0006660039,STPILDA0807 1/10,0,0,0,0,0,0,0,0
05/02/2026,TN0007180037,SITSDa1/9 28/03/07,0,0,0,0,0,0,0,0
05/02/2026,TN0001100312,SFBTDa1/2(11/4/02),0,0,0,0,0,0,0,0
05/02/2026,TN0007270036,Da TPR 11/149 2006,0,0,0,0,0,0,0,0
05/02/2026,TN0002200251,BTDa1/7(3/12/01),0,0,0,0,0,0,0,0
05/02/2026,TN0001900778,BHDA 1/15 28052007,0,0,0,0,0,0,0,0
05/02/2026,TN0006610141,ATTIJARI LS ROMPU,0,0,0,0,0,0,0,0
05/02/2026,TN0003600434,ATBDA1/7 09/11/05,0,0,0,0,0,0,0,0
05/02/2026,TN0007140031,ASSDa1/9(01/07/05),0,0,0,0,0,0,0,0
05/02/2026,TN0002300424,ALQDa1/12 06/09/05,0,0,0,0,0,0,0,0
05/02/2026,TN0003400272,ABDA 1/14 11122007,0,0,0,0,0,0,0,0
05/02/2026,TN0006170013,STE TUN. DU SUCRE,0,0,0,0,0,0,0,0
05/02/2026,TN0004300307,SITEX,0,0,0,0,0,0,0,0
05/02/2026,TN0007680010,BNA ASSURANCES,3,3,3.08,2.98,2.999,48,6821,20453.56
05/02/2026,TN0002400505,UBCI,37.1,37.1,37.1,37.1,37.1,11,2156,79987.6
05/02/2026,TN0004100202,TUNINVEST-SICAR,41.4,41.4,41.4,41.4,41.4,13,319,13206.6
05/02/2026,TN0001400704,SPDIT - SICAF,12.8,12.96,12.96,12.8,12.8,11,3590,45953.6
05/02/2026,TN0006670012,SIPHAT,3.45,3.45,3.45,3.45,3.45,1,29,100.05
05/02/2026,TN0002500650,PLAC. TSIE-SICAF,0,0,0,0,0,0,0,0
05/02/2026,TN0003200755,ICF,77.5,77.05,77.9,77,77.394,17,230,17800.67
05/02/2026,TN0001300557,BTE (ADP),3.57,3.88,3.88,3.57,3.709,7,436,1617.28
05/02/2026,TN0007580012,BEST LEASE,2.26,2.26,2.26,2.26,2.26,7,726,1640.76
05/02/2026,TN0003000452,ASTREE,0,0,0,0,0,0,0,0
05/02/2026,TN0006550016,BH ASSURANCE,0,0,0,0,0,0,0,0
05/02/2026,TN0003800703,ALKIMIA,0,0,0,0,0,0,0,0
05/02/2026,TN0002300358,AIR LIQUIDE TSIE,163,163,163,163,163,8,26,4238
05/02/2026,TN0007200017,WIFACK INT BANK,7.2,7.2,7.2,7.2,7.2,5,406,2923.2
05/02/2026,TN0007720014,UNIMED,9.1,9.06,9.11,9.04,9.085,69,29372,266834.2
05/02/2026,TN0003900107,UIB,26.5,26.5,26.5,26.3,26.392,6,370,9765
05/02/2026,TN0007690019,UADH,0.53,0.53,0.53,0.53,0.53,6,10140,5374.2
05/02/2026,TN0002100907,TUNISIE LEASING F,41.15,41,41.5,40.99,41.089,44,3671,150837.5
05/02/2026,TN0001200401,TUNISAIR,0,0,0,0,0,0,0,0
05/02/2026,TN0007380017,TUNIS RE,12.9,12.9,12.9,12.9,12.9,10,15340,197886
05/02/2026,TN0007270010,TPR,13.18,13.2,13.2,13,13.11,80,19148,251021.15
05/02/2026,TN0007440019,TELNET HOLDING,6.37,6.35,6.39,6.35,6.36,36,4859,30905.57
05/02/2026,TN0002600955,STB,3.78,3.78,3.79,3.75,3.763,74,26068,98098.54
05/02/2026,TN0006060016,STAR,57.35,57.3,57.35,56.8,56.847,5,46,2614.96
05/02/2026,TNNGTFLC2986,STA,60,59.99,60,56.4,58.73,83,3446,202384.85
05/02/2026,TN0006560015,SOTUVER,14.59,14.59,14.64,14.5,14.553,139,39480,574557.8
05/02/2026,TN0006580013,SOTUMAG,9.83,9.83,9.83,9.83,9.83,1,66,648.78
05/02/2026,TN0006660013,SOTRAPIL,23.38,23.65,23.65,23.38,23.406,24,4611,107926.4
05/02/2026,TN0007630015,SOTIPAPIER,2.58,2.67,2.67,2.5,2.546,80,9065,23076.3
05/02/2026,TN0006530018,SOTETEL,6.24,6.12,6.24,6.12,6.141,45,8312,51040.04
05/02/2026,TN0006780019,SOMOCER,0,0,0,0,0,0,0,0
05/02/2026,TNQPQXRODTH8,SMART TUNISIE,19.5,19.5,19.5,19.5,19.5,8,897,17491.5
05/02/2026,TN0007180011,SITS,0,0,0,0,0,0,0,0
05/02/2026,TN0004000055,SIMPAR,0,0,0,0,0,0,0,0
05/02/2026,TN0006590012,SIAME,2.88,2.8,2.88,2.8,2.83,20,3425,9692.93
05/02/2026,TN0001100254,SFBT,13.5,13.39,13.5,13.3,13.401,51,8617,115477.15
05/02/2026,TN0007610017,SAH,14.39,14.29,14.39,14.1,14.157,68,9900,140150.31
05/02/2026,TN0005700018,POULINA GP HOLDING,21.2,21.2,21.2,20,20.502,118,43230,886322.78
05/02/2026,TN0007530017,ONE TECH HOLDING,8.89,8.9,8.97,8.75,8.823,191,96575,852050.44
05/02/2026,TN0007620016,MPBS,8.2,8.2,8.2,8.06,8.182,47,10244,83812.89
05/02/2026,TN0001000108,MONOPRIX,5.95,5.95,5.95,5.95,5.95,5,2640,15708
05/02/2026,TN0006720049,BH LEASING,3.8,3.8,3.8,3.8,3.8,1,10,38
05/02/2026,TN0006440010,MAGASIN GENERAL,10,10,10,10,10,2,130,1300
05/02/2026,TN0007310139,HANNIBAL LEASE,7.25,7.25,7.25,7.25,7.25,10,805,5836.25
05/02/2026,TN0007570013,EURO-CYCLES,11.69,11.59,11.69,11.54,11.588,54,6271,72669.01
05/02/2026,TN0007210016,ESSOUKNA,3.82,3.79,3.83,3.7,3.79,30,2648,10034.76
05/02/2026,TN0007410012,ENNAKL AUTOMOBILES,15.6,16.43,16.43,15.6,16.285,53,4263,69421.42
05/02/2026,TN0007670011,DELICE HOLDING,14.59,14.58,14.6,14.39,14.498,54,7012,101658.12
05/02/2026,TN0007550015,CITY CARS,22.6,23.95,23.95,22.6,23.492,93,6802,159789.38
05/02/2026,TN0007350010,CIMENTS DE BIZERTE,0,0,0,0,0,0,0,0
05/02/2026,TN0004200853,CIL,32.3,32.3,32.84,32.3,32.3,27,5523,178393.44
05/02/2026,TN0007590011,CELLCOM,2.74,2.75,2.75,2.72,2.737,49,7197,19701.08
